"program","facility_name","facility_oid","org_name","org_oid","cert_ehr","validator_keyid"
"MDCH_CANCER","Allegiance Thoracic Surgery","2.16.840.1.113883.17.4030.4","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Vascular Health","2.16.840.1.113883.17.4052.1","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Women's Health Center","2.16.840.1.113883.17.4055","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Wound Care/Hyperbaric Center","2.16.840.1.113883.3.5416.1.1583","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Altarum","2.16.840.1.113883.3.3380","Altarum","2.16.840.1.113883.3.3380","NA","C5"
"MDCH_CANCER","Amirikia Eye Clinic","2.16.840.1.113883.3.5416.1.3143.1","Amirikia Eye Clinic","2.16.840.1.113883.3.5416.1.3143","Modernizing Medicine","C9"
"MDCH_CANCER","Associated Dermatologists","2.16.840.1.113883.3.6055.1","Associated Dermatologists","2.16.840.1.113883.3.6055","Modernizing Medicine","AE"
"MDCH_CANCER","Associates in Dermatology of Traverse City","2.16.840.1.113883.3.5416.1.1623.1","Associates in Dermatology of Traverse City","2.16.840.1.113883.3.5416.1.1623","Modernizing Medicine","CA"
"MDCH_CANCER","Beacon Skin and Surgeries","2.16.840.1.113883.3.5416.1.473.1","Beacon Skin and Surgeries","2.16.840.1.113883.3.5416.1.473","Modernizing Medicine","AF"
"MDCH_CANCER","Bear Creek Health Center","2.16.840.1.113883.3.137.4.903.13.10","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Beaumont Medical Group - Dr Irene Signori MD","2.16.840.1.113883.3.3886.25","Oakwood Healthcare Centers","2.16.840.1.113883.3.3886","NextGen","8E"
"MDCH_CANCER","Beaumont Medical Group - Hem-Onc - Downriver","2.16.840.1.113883.3.3886.30","Oakwood Healthcare Centers","2.16.840.1.113883.3.3886","NextGen","8E"
"MDCH_CANCER","Brighton Dermatology and Regenesis","2.16.840.1.113883.3.5416.1.1498.1","Brighton Dermatology and Regenesis","2.16.840.1.113883.3.5416.1.1498","Modernizing Medicine","77"
"MDCH_CANCER","Browning Claytor Health Center","2.16.840.1.113883.3.137.4.903.37.2","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.2","NextGen ","6E"
"MDCH_CANCER","CHCWM Holland Cancer Center","1.3.6.1.4.1.44198.1","Cancer and Hematology Centers of Western Michigan","1.3.6.1.4.1.44198","Flatiron ","B0"
"MDCH_CANCER","CHCWM Johnson Family Cancer Center","1.3.6.1.4.1.44198.2","Cancer and Hematology Centers of Western Michigan","1.3.6.1.4.1.44198","Flatiron ","B0"
"MDCH_CANCER","CHCWM Lack's Cancer Center","1.3.6.1.4.1.44198.3","Cancer and Hematology Centers of Western Michigan","1.3.6.1.4.1.44198","Flatiron ","B0"
"MDCH_CANCER","CHCWM Lemmen Holton Cancer Center","1.3.6.1.4.1.44198.4","Cancer and Hematology Centers of Western Michigan","1.3.6.1.4.1.44198","Flatiron ","B0"
"MDCH_CANCER","Children's and Family Medical Clinic","2.16.840.1.113883.3.564.8026.1","Children's and Family Medical Clinic ","2.16.840.1.113883.3.564.8026","Athenahealth","B1"
"MDCH_CANCER","Clinica Santa Maria","2.16.840.1.113883.3.137.4.903.37.5","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.5","NextGen ","6E"
"MDCH_CANCER","Comprehensive Hematology Oncology","2.16.840.1.113883.3.3886.14","Oakwood Healthcare Centers","2.16.840.1.113883.3.3886","NextGen","8E"
"MDCH_CANCER","Cosmedic Dermatology","2.16.840.1.113883.3.5416.1.330.1","Cosmedic Dermatology","2.16.840.1.113883.3.5416.1.330","Nextech","B2"
"MDCH_CANCER","Darius J. Karimipour, M.D., P.C.","2.16.840.1.113883.3.5416.1.3.1","Darius J. Karimipour, M.D., P.C.","2.16.840.1.113883.3.5416.1.3","Modernizing Medicine","B3"
"MDCH_CANCER","David Fivenson, MD, Dermatology, PLLC","2.16.840.1.113883.3.564.9738","David Fivenson, MD, Dermatology, PL","2.16.840.1.113883.3.564","Athenahealth","76"
"MDCH_CANCER","David V Spurlin, MD","2.16.840.1.113883.3.5416.1.88.1","Pinnacle Dermatology","2.16.840.1.113883.3.5416.1.88","Modernizing Medicine","CB"
"MDCH_CANCER","Dermatology and Phototherapy Center of Brighton","2.16.840.1.113883.3.5416.1.2798.1","Dermatology and Phototherapy Center of Brighton","2.16.840.1.113883.3.5416.1.2798","Modernizing Medicine","CC"
"MDCH_CANCER","Dermatology Associates of West Michigan","2.16.840.1.113883.3.5416.1.1581.1","Dermatology Associates of West Michigan","2.16.840.1.113883.3.5416.1.1581","Modernizing Medicine","83"
"MDCH_CANCER","Dermatology at MidTowne, PC","2.16.840.1.113883.3.4214.1","Dermatology at MidTowne, PC","2.16.840.1.113883.3.4214","Modernizing Medicine","CE"
"MDCH_CANCER","Dermatology Specialists of Canton","2.16.840.1.113883.3.5416.1.1637.1","Dermatology Specialists of Canton","2.16.840.1.113883.3.5416.1.1637","Modernizing Medicine","85"
"MDCH_CANCER","Dermatology Specialists of Shelby","2.16.840.1.113883.3.5416.1.2817.1","Dermatology Specialists of Shelby","2.16.840.1.113883.3.5416.1.2817","Modernizing Medicine","85"
"MDCH_CANCER","Dexter Internal Medicine and Pediatrics","2.16.840.1.113883.3.137.4.904.55.1","Trinity Health - loyed Physicians Network","2.16.840.1.113883.3.137.4.904.55","NextGen","6E"
"MDCH_CANCER","Endoscopic Solutions, PC","2.16.840.1.113883.3.5416.1.2733.1","Endoscopic Solutions, PC","2.16.840.1.113883.3.5416.1.2733","Athenahealth","B4"
"MDCH_CANCER","ESC Urology","2.16.840.1.113883.3.5416.1.2830","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","Family Medicine of Stockbridge","2.16.840.1.113883.3.137.4.904.55.5","Trinity Health - loyed Physicians Network","2.16.840.1.113883.3.137.4.904.55","NextGen","6E"
"MDCH_CANCER","Family Medicine Specialists","2.16.840.1.113883.3.137.4.903.44.1","Trinity Health ","2.16.840.1.113883.3.137.4.903.44.1","NextGen ","6E"
"MDCH_CANCER","Ferrara Dermatology Clinic","2.16.840.1.113883.3.5416.1.234.1","Ferrara Dermatology Clinic","2.16.840.1.113883.3.5416.1.234","Modernizing Medicine","B5"
"MDCH_CANCER","Forefront Dermatology - East Lansing","2.16.840.1.113883.3.5416.1.435","Forefront Dermatology","2.16.840.1.113883.3.5416.1.391","NextGen","B6"
"MDCH_CANCER","Forefront Dermatology - Grand Rapids - Cascade","2.16.840.1.113883.3.5416.1.431","Forefront Dermatology","2.16.840.1.113883.3.5416.1.391","NextGen","B6"
"MDCH_CANCER","Forefront Dermatology - Grand Rapids - East Paris","2.16.840.1.113883.3.5416.1.432","Forefront Dermatology","2.16.840.1.113883.3.5416.1.391","NextGen","B6"
"MDCH_CANCER","Forefront Dermatology - Hastings","2.16.840.1.113883.3.5416.1.391.1","Forefront Dermatology","2.16.840.1.113883.3.5416.1.391","NextGen","B6"
"MDCH_CANCER","Forefront Dermatology - Marquette - Harbor Hills","2.16.840.1.113883.3.5416.1.391.2","Forefront Dermatology","2.16.840.1.113883.3.5416.1.391","NextGen","B6"
"MDCH_CANCER","Forefront Dermatology - Marquette - West Fair","2.16.840.1.113883.3.5416.1.434","Forefront Dermatology","2.16.840.1.113883.3.5416.1.391","NextGen","B6"
"MDCH_CANCER","Forefront Dermatology - Port Huron","2.16.840.1.113883.3.5416.1.433","Forefront Dermatology","2.16.840.1.113883.3.5416.1.391","NextGen","B6"
"MDCH_CANCER","Fruitport Family Medicine","2.16.840.1.113883.3.137.4.903.13.15","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Ganger Dermatology Ann Arbor","2.16.840.1.113883.3.5416.1.456.1","Ganger Dermatology","2.16.840.1.113883.3.5416.1.456","Modernizing Medicine","8C"
"MDCH_CANCER","Ganger Dermatology Wixom","2.16.840.1.113883.3.5416.1.456.2","Ganger Dermatology","2.16.840.1.113883.3.5416.1.456","Modernizing Medicine","8C"
"MDCH_CANCER","Gerald E VanWieren MD","2.16.840.1.113883.3.137.4.903.45","Trinity Health ","2.16.840.1.113883.3.137.4.903.45","NextGen ","6E"
"MDCH_CANCER","Grand Rapids Family Physicians","2.16.840.1.113883.3.137.4.903.47.1","Trinity Health ","2.16.840.1.113883.3.137.4.903.47.1","NextGen ","6E"
"MDCH_CANCER","Grand Traverse Ophthalmology Clinic","2.16.840.1.113883.3.5416.1.2795.1","Grand Traverse Ophthalmology Clinic","2.16.840.1.113883.3.5416.1.2795","NextGen","CF"
"MDCH_CANCER","Great Lakes Cancer Managementÿ - 12 Mile","2.16.840.1.113883.3.4825.4000.3","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Great Lakes Cancer Managementÿ - 23 Mile","2.16.840.1.113883.3.4825.4000.2","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Great Lakes Cancer Managementÿ - East China","2.16.840.1.113883.3.4825.4000.4","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Great Lakes Cancer Managementÿ - Mack","2.16.840.1.113883.3.4825.4000.1","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Great Lakes Cancer Managementÿ - Rochester","2.16.840.1.113883.3.4825.4000.5","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Grosse Pointe Dermatology Associates","2.16.840.1.113883.3.5416.1.2804.1","Grosse Pointe Dermatology Associates","2.16.840.1.113883.3.5416.1.2804","Modernizing Medicine","D0"
"MDCH_CANCER","Hamzavi Dermatology - Clinton Township","2.16.840.1.113883.3.5416.1.2801.2","Hamzavi Dermatology","2.16.840.1.113883.3.5416.1.2801","Modernizing Medicine","B7"
"MDCH_CANCER","Hamzavi Dermatology - Fort Gratiot","2.16.840.1.113883.3.5416.1.2801.1","Hamzavi Dermatology","2.16.840.1.113883.3.5416.1.2801","Modernizing Medicine","B7"
"MDCH_CANCER","Harborwood At The Lakes","2.16.840.1.113883.3.137.4.903.13.12","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Harborwood Family Medicine","2.16.840.1.113883.3.137.4.903.13.11","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Harbour Pointe Med Assoc","2.16.840.1.113883.3.137.4.903.13.2","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Harbourview Family Medicine","2.16.840.1.113883.3.137.4.903.13.18","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Heartside Health Center","2.16.840.1.113883.3.137.4.903.37.20","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.20","NextGen ","6E"
"MDCH_CANCER","Heidelberg Dermatology","2.16.840.1.113883.3.5416.1.2832.1","Heidelberg Dermatology, P.C.","2.16.840.1.113883.3.5416.1.2832","Modernizing Medicine","D1"
"MDCH_CANCER","Hillsdale Health and Wellness","2.16.840.1.113883.3.564.3688.1","Hillsdale Health and Wellness","2.16.840.1.113883.3.564.3688","Athenahealth","B8"
"MDCH_CANCER","Holland Dermatology","2.16.840.1.113883.3.5416.1.1606.1","Holland Dermatology","2.16.840.1.113883.3.5416.1.1606","Modernizing Medicine","84"
"MDCH_CANCER","Huron Gastroenterology Associates","2.16.840.1.113883.3.5416.1.63.1","Huron Gastroenterology Associates","2.16.840.1.113883.3.5416.1.63","NextGen","D2"
"MDCH_CANCER","IHA Hematology Oncology Consultants","2.16.840.1.113883.3.5416.1.93.34","IHA","2.16.840.1.113883.3.5416.1.93","NextGen","C3"
"MDCH_CANCER","IHA Pulmonary Critical Care and Sleep Consultants","2.16.840.1.113883.3.5416.1.93.56","IHA","2.16.840.1.113883.3.5416.1.93","NextGen","C3"
"MDCH_CANCER","IHA Urgent Care - Domino's Farms","2.16.840.1.113883.3.5416.1.93.74","IHA","2.16.840.1.113883.3.5416.1.93","NextGen","C3"
"MDCH_CANCER","Jackson Cardiology","2.16.840.1.113883.17.4043","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Kalamazoo Ophthalmology, P.C.","2.16.840.1.113883.3.5416.1.2815.1","Kalamazoo Ophthalmology, P.C.","2.16.840.1.113883.3.5416.1.2815","NextGen","D3"
"MDCH_CANCER","Lakes Family Medicine","2.16.840.1.113883.3.137.4.903.13.16","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Lakes OBGYN","2.16.840.1.113883.3.137.4.903.13.25","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Lakeshore Family Care","2.16.840.1.113883.3.137.4.903.13.4","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Lakeshore Medical Center","2.16.840.1.113883.3.137.4.903.13.31","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Lakeshore Urology - Grand Haven","2.16.840.1.113883.3.564.6463","Lakeshore Urology, PLC","2.16.840.1.113883.3.564","Athenahealth","75"
"MDCH_CANCER","Lawrence Desjarlais, MD, PC","2.16.840.1.113883.3.5416.1.2814 .1","Lawrence Desjarlais MD PC","2.16.840.1.113883.3.5416.1.2814","Nextech","D4"
"MDCH_CANCER","LifeTime Dermatology","2.16.840.1.113883.3.5416.1.242.1","LifeTime Dermatology","2.16.840.1.113883.3.5416.1.242","Modernizing Medicine","D5"
"MDCH_CANCER","Livingston Internal Medicine, PC","2.16.840.1.113883.3.5416.1.2813.1","Livingston Internal Medicine PC","2.16.840.1.113883.3.5416.1.2813","Meditab IMS","B9"
"MDCH_CANCER","Malviya Gyn Oncology Novi","2.16.840.1.113883.3.4825.4003.2","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Malviya GYN Oncology Rochester","2.16.840.1.113883.3.4825.4003.3","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Malviya Gyn Oncology Southfield","2.16.840.1.113883.3.4825.4003.1","St John Providence Health System","2.16.840.1.113883.3.4825","Flatiron ","68"
"MDCH_CANCER","Mercy Family Care - Marysville","2.16.840.1.113883.3.137.4.904.41.1","Trinity Health ","2.16.840.1.113883.3.137.4.904.41.1","NextGen ","6E"
"MDCH_CANCER","Mercy Family Care - Port Huron Campus","2.16.840.1.113883.3.137.4.904.41.2","Trinity Health ","2.16.840.1.113883.3.137.4.904.41.2","NextGen ","6E"
"MDCH_CANCER","Mercy Health FM Residency Center-4000","2.16.840.1.113883.3.137.4.903.37.37","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.37","NextGen ","6E"
"MDCH_CANCER","Mercy Health Physician Partners OB-GYN","2.16.840.1.113883.3.137.4.903.37.25","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.25","NextGen ","6E"
"MDCH_CANCER","Mercy Health Physician Partners Wege Internal Med","2.16.840.1.113883.3.137.4.903.37.38","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.38","NextGen ","6E"
"MDCH_CANCER","Mercy Health Sable Point Family Care","NA","NA","NA","NA","D6"
"MDCH_CANCER","Mercy Primary Care Center"," 2.16.840.1.113883.3.137.4.904.15.1","Trinity Health - Mercy Health Physician Services","2.16.840.1.113883.3.137.4.904.15","NextGen","6E"
"MDCH_CANCER","Mercy Surgery Care","2.16.840.1.113883.3.137.4.904.41.3","Trinity Health ","2.16.840.1.113883.3.137.4.904.41.3","NextGen ","6E"
"MDCH_CANCER","Mercy Westshore Internal Med","2.16.840.1.113883.3.137.4.903.13.1","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Mercy Womens Health Services","2.16.840.1.113883.3.137.4.903.13.7","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","MGHP - Westshore Family Medicine","NA","NA","NA","NA","D7"
"MDCH_CANCER","MHPP - Caledonia","2.16.840.1.113883.3.137.4.903.37.3","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.3","NextGen ","6E"
"MDCH_CANCER","MHPP - Downtown","2.16.840.1.113883.3.137.4.903.37.6","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.6","NextGen ","6E"
"MDCH_CANCER","MHPP - East Beltline","2.16.840.1.113883.3.137.4.903.37.7","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.7","NextGen ","6E"
"MDCH_CANCER","MHPP - Holland North","NA","Trinity Health ","NA","NextGen ","6E"
"MDCH_CANCER","MHPP - Jenison","2.16.840.1.113883.3.137.4.903.37.22","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.22","NextGen ","6E"
"MDCH_CANCER","MHPP - Northeast","2.16.840.1.113883.3.137.4.903.37.23","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.23","NextGen ","6E"
"MDCH_CANCER","MHPP - Northwest","2.16.840.1.113883.3.137.4.903.37.24","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.24","NextGen ","6E"
"MDCH_CANCER","MHPP - Rivertown","2.16.840.1.113883.3.137.4.903.37.27","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.27","NextGen ","6E"
"MDCH_CANCER","MHPP - Rockford","2.16.840.1.113883.3.137.4.903.37.28","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.28","NextGen ","6E"
"MDCH_CANCER","MHPP - Southeast","2.16.840.1.113883.3.137.4.903.37.30","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.30","NextGen ","6E"
"MDCH_CANCER","MHPP - Southwest","2.16.840.1.113883.3.137.4.903.37.31","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.31","NextGen ","6E"
"MDCH_CANCER","MHPP - Walker-Standale","2.16.840.1.113883.3.137.4.903.37.35","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.35","NextGen ","6E"
"MDCH_CANCER","MHPP - Wyoming","2.16.840.1.113883.3.137.4.903.37.42","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.42","NextGen ","6E"
"MDCH_CANCER","MHPP Diabetes and Endocrine Center","2.16.840.1.113883.3.137.4.903.37.4","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.4","NextGen ","6E"
"MDCH_CANCER","MHPP Family Medicine- Suite 4200","2.16.840.1.113883.3.137.4.903.37.36","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.36","NextGen ","6E"
"MDCH_CANCER","MHPP Grand River Vascular Surgery SMHC","2.16.840.1.113883.3.137.4.903.37.16","Trinity Health ","2.16.840.1.113883.3.137.4.903.37.16","NextGen ","6E"
"MDCH_CANCER","Michigan Cornea Consultants, PC","2.16.840.1.113883.3.5416.1.2746.1","Michigan Cornea Consultants, PC - SPD","2.16.840.1.113883.3.5416.1.2746","Modernizing Medicine","93"
"MDCH_CANCER","Michigan Dermatology","2.16.840.1.113883.3.5416.1.464.1","Michigan Dermatology","2.16.840.1.113883.3.5416.1.464","Modernizing Medicine","7D"
"MDCH_CANCER","Midwest Center for Dermatology","2.16.840.1.113883.33.5416.1.366.1","Midwest Center for Dermatology","2.16.840.1.113883.33.5416.1.366","Modernizing Medicine","BA"
"MDCH_CANCER","Moulton Group MD","2.16.840.1.113883.3.5416.1.2810.1","Moulton Group MD","2.16.840.1.113883.3.5416.1.2810","Nextech","91"
"MDCH_CANCER","Nadeem Ullah MD LLC","2.16.840.1.113883.17.4065","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Norris Creek","2.16.840.1.113883.3.137.4.903.13.28","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","North Oakland Dermatology","2.16.840.1.113883.3.5416.1.251.1","North Oakland Dermatology","2.16.840.1.113883.3.5416.1.251","Modernizing Medicine","BB"
"MDCH_CANCER","Northshore Family Practice","2.16.840.1.113883.3.137.4.903.13.5","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Northwest Dermatology Group","2.16.840.1.113883.3.5416.1.200.1","Northwest Dermatology Group ","2.16.840.1.113883.3.5416.1.200","Modernizing Medicine","BC"
"MDCH_CANCER","Northwestern Michigan Dermatology","2.16.840.1.113883.3.5416.1.281.1","Northwestern Michigan Dermatology","2.16.840.1.113883.3.5416.1.281","Modernizing Medicine","7E"
"MDCH_CANCER","Norton Family Practice","2.16.840.1.113883.3.137.4.903.13.9","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Oakland Hills Dermatology","2.16.840.1.113883.3.5416.1.249.1","Oakland Hills Dermatology","2.16.840.1.113883.3.5416.1.249","Modernizing Medicine","95"
"MDCH_CANCER","Oakwood Breast Specialists","2.16.840.1.113883.3.3886.13","Oakwood Healthcare Centers","2.16.840.1.113883.3.3886","NextGen","8E"
"MDCH_CANCER","Oncology and Hematology of Oakland","2.16.840.1.113883.3.5416.1.1476.1","Oncology and Hematology of Oakland","2.16.840.1.113883.3.5416.1.1476","Meditab","BD"
"MDCH_CANCER","Oncology-Hematology Assoc of Saginaw Valley - Caro","1.3.6.1.4.144336.2","Oncology Hematology Associates of Saginaw Valley, P.C.","1.3.6.1.4.144336","Flatironÿ 2.7","D8"
"MDCH_CANCER","Oncology-Hematology Assoc of Saginaw Valley - Marlet","1.3.6.1.4.144336.3","Oncology Hematology Associates of Saginaw Valley, P.C.","1.3.6.1.4.144336","Flatironÿ 2.7","D9"
"MDCH_CANCER","Oncology-Hematology Assoc of Saginaw Valley - Saginaw","1.3.6.1.4.144336.4","Oncology Hematology Associates of Saginaw Valley, P.C.","1.3.6.1.4.144336","Flatiron ÿ2.7","BE"
"MDCH_CANCER","Oncology-Hematology Assoc of Saginaw Valley - West Branch","1.3.6.1.4.144336.1","Oncology Hematology Associates of Saginaw Valley, P.C.","1.3.6.1.4.144336","Flatironÿ 2.7","DA"
"MDCH_CANCER","OSF Escanaba Oncology","2.16.840.1.113883.3.5416.1.2829","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","OSF Powers Medical Group","2.16.840.1.113883.3.5416.1.2822","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","OSF St Francis Hosp Med Grp-Int Med Neurology","2.16.840.1.113883.3.5416.1.2823","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","OSF St Francis Hosp Med Grp-Orthopedics","2.16.840.1.113883.3.5416.1.2824","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","OSF St Francis Hospital Medical Group - Escanaba","2.16.840.1.113883.3.5416.1.2825","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","OSF St Francis Hospital Medical Group - Gladstone","2.16.840.1.113883.3.5416.1.2826","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","OSF St Francis Women's Center","2.16.840.1.113883.3.5416.1.2827","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","OSF St Francis Women's Center-Great Lakes","2.16.840.1.113883.3.5416.1.2828","OSF HealthCare","2.16.840.1.113883.3.5416.1.35","EpicCare Ambulatory","61"
"MDCH_CANCER","Paul Kenyon, MD","2.16.840.1.113883.17.4039.2","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Pinson Urology Center PC","2.16.840.1.113883.17.4067","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Pravin Puri","2.16.840.1.113883.3.5416.1.2802.1","Pravin Puri, M.D., F.A.C.S.","2.16.840.1.113883.3.5416.1.2802","Nextech ","DB"
"MDCH_CANCER","Pulmonary and Sleep Wellness Center","2.16.840.1.113883.3.5416.1.2811.1","Pulmonary and Sleep Wellness Center","2.16.840.1.113883.3.5416.1.2811","Athenahealth","DC"
